id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
38001;ES-TF;ES-CN;Adeje;2021-12-01;471;1171;0.60;44399.99;156141.06;0.72
38002;ES-TF;ES-CN;Agulo;2021-12-01;12;29;0.59;6157.29;7658.25;0.20
38003;ES-TF;ES-CN;Alajeró;2021-12-01;108;133;0.19;11389.91;15546.52;0.27
38004;ES-TF;ES-CN;Arafo;2021-12-01;55;210;0.74;6056.48;29132.90;0.79
38005;ES-TF;ES-CN;Arico;2021-12-01;92;438;0.79;10028.90;59011.78;0.83
38006;ES-TF;ES-CN;Arona;2021-12-01;478;1690;0.72;54571.00;226437.42;0.76
38007;ES-TF;ES-CN;Barlovento;2021-12-01;35;53;0.34;7495.21;11109.25;0.33
38008;ES-TF;ES-CN;Breña Alta;2021-12-01;114;243;0.53;14858.74;38743.10;0.62
38009;ES-TF;ES-CN;Breña Baja;2021-12-01;58;176;0.67;8008.66;33587.80;0.76
38010;ES-TF;ES-CN;Buenavista del Norte;2021-12-01;94;218;0.57;7672.59;25118.60;0.69
38011;ES-TF;ES-CN;Candelaria;2021-12-01;150;522;0.71;17537.41;72422.55;0.76
38012;ES-TF;ES-CN;Fasnia;2021-12-01;10;103;0.90;1128.73;19345.17;0.94
38013;ES-TF;ES-CN;Frontera;2021-12-01;29;157;0.82;1817.36;21148.35;0.91
38014;ES-TF;ES-CN;Fuencaliente de la Palma;2021-12-01;2;157;0.99;78.90;16763.71;1.00
38015;ES-TF;ES-CN;Garachico;2021-12-01;46;210;0.78;5220.35;24981.13;0.79
38016;ES-TF;ES-CN;Garafía;2021-12-01;34;57;0.40;12288.51;14387.77;0.15
38017;ES-TF;ES-CN;Granadilla de Abona;2021-12-01;330;1084;0.70;40783.02;159642.92;0.74
38018;ES-TF;ES-CN;La Guancha;2021-12-01;67;195;0.66;6407.50;24992.73;0.74
38019;ES-TF;ES-CN;Guía de Isora;2021-12-01;82;476;0.83;10014.48;63226.50;0.84
38020;ES-TF;ES-CN;Güímar;2021-12-01;136;457;0.70;13113.78;63183.12;0.79
38021;ES-TF;ES-CN;Hermigua;2021-12-01;26;30;0.13;6576.99;7183.77;0.08
38022;ES-TF;ES-CN;Icod de los Vinos;2021-12-01;402;709;0.43;54151.94;105190.79;0.49
38024;ES-TF;ES-CN;Los Llanos de Aridane;2021-12-01;118;427;0.72;14317.54;61101.05;0.77
38025;ES-TF;ES-CN;La Matanza de Acentejo;2021-12-01;64;145;0.56;6901.52;27894.49;0.75
38026;ES-TF;ES-CN;La Orotava;2021-12-01;483;1020;0.53;59042.64;153646.66;0.62
38027;ES-TF;ES-CN;El Paso;2021-12-01;80;232;0.66;9842.39;50709.94;0.81
38028;ES-TF;ES-CN;Puerto de la Cruz;2021-12-01;107;685;0.84;7225.92;74120.14;0.90
38029;ES-TF;ES-CN;Puntagorda;2021-12-01;20;87;0.77;5289.87;29322.67;0.82
38030;ES-TF;ES-CN;Puntallana;2021-12-01;45;78;0.42;6918.39;12824.24;0.46
38031;ES-TF;ES-CN;Los Realejos;2021-12-01;194;675;0.71;27601.54;100170.04;0.72
38032;ES-TF;ES-CN;El Rosario;2021-12-01;55;332;0.83;5897.13;59184.29;0.90
38033;ES-TF;ES-CN;San Andrés y Sauces;2021-12-01;30;83;0.64;6694.82;17663.94;0.62
38034;ES-TF;ES-CN;San Juan de la Rambla;2021-12-01;50;149;0.66;7440.92;22131.02;0.66
38035;ES-TF;ES-CN;San Miguel de Abona;2021-12-01;244;492;0.50;36930.78;92045.05;0.60
38036;ES-TF;ES-CN;San Sebastián de la Gomera;2021-12-01;120;205;0.41;19751.92;31991.40;0.38
38037;ES-TF;ES-CN;Santa Cruz de la Palma;2021-12-01;81;295;0.73;5936.81;26079.27;0.77
38038;ES-TF;ES-CN;Santa Cruz de Tenerife;2021-12-01;470;3029;0.84;30250.40;370162.43;0.92
38039;ES-TF;ES-CN;Santa Úrsula;2021-12-01;60;461;0.87;3940.36;57658.43;0.93
38040;ES-TF;ES-CN;Santiago del Teide;2021-12-01;54;274;0.80;3375.13;31958.43;0.89
38041;ES-TF;ES-CN;El Sauzal;2021-12-01;53;199;0.73;6965.56;38756.89;0.82
38042;ES-TF;ES-CN;Los Silos;2021-12-01;16;194;0.92;594.29;21207.22;0.97
38043;ES-TF;ES-CN;Tacoronte;2021-12-01;154;440;0.65;17840.79;92593.70;0.81
38044;ES-TF;ES-CN;El Tanque;2021-12-01;50;127;0.61;4827.10;17500.76;0.72
38045;ES-TF;ES-CN;Tazacorte;2021-12-01;38;98;0.61;1923.95;8429.43;0.77
38046;ES-TF;ES-CN;Tegueste;2021-12-01;50;276;0.82;4199.78;43018.50;0.90
38047;ES-TF;ES-CN;Tijarafe;2021-12-01;52;90;0.42;11581.30;21560.99;0.46
38048;ES-TF;ES-CN;Valverde;2021-12-01;84;298;0.72;10167.40;43058.44;0.76
38049;ES-TF;ES-CN;Valle Gran Rey;2021-12-01;27;137;0.80;2546.06;18410.30;0.86
38050;ES-TF;ES-CN;Vallehermoso;2021-12-01;72;85;0.15;14809.97;19240.77;0.23
38051;ES-TF;ES-CN;La Victoria de Acentejo;2021-12-01;18;101;0.82;1656.34;25075.66;0.93
38052;ES-TF;ES-CN;Vilaflor;2021-12-01;34;77;0.56;3307.34;8898.74;0.63
38053;ES-TF;ES-CN;Villa de Mazo;2021-12-01;107;137;0.22;21283.24;28130.76;0.24
38901;ES-TF;ES-CN;El Pinar de El Hierro;2021-12-01;22;98;0.78;7492.57;18473.44;0.59
