id;prov;ccaa;name
05266;ES-AV;ES-CL;Zapardiel de la Cañada
05267;ES-AV;ES-CL;Zapardiel de la Ribera
05901;ES-AV;ES-CL;San Juan de Gredos
05902;ES-AV;ES-CL;Santa María del Cubillo
05903;ES-AV;ES-CL;Diego del Carpio
05904;ES-AV;ES-CL;Santiago del Tormes
05905;ES-AV;ES-CL;Villanueva de Ávila
09001;ES-BU;ES-CL;Abajas
09003;ES-BU;ES-CL;Adrada de Haza
09006;ES-BU;ES-CL;Aguas Cándidas
09007;ES-BU;ES-CL;Aguilar de Bureba
09009;ES-BU;ES-CL;Albillos
09010;ES-BU;ES-CL;Alcocero de Mola
09011;ES-BU;ES-CL;Alfoz de Bricia
09012;ES-BU;ES-CL;Alfoz de Santa Gadea
09013;ES-BU;ES-CL;Altable
09014;ES-BU;ES-CL;Los Altos
09016;ES-BU;ES-CL;Ameyugo
09017;ES-BU;ES-CL;Anguix
09018;ES-BU;ES-CL;Aranda de Duero
09019;ES-BU;ES-CL;Arandilla
09020;ES-BU;ES-CL;Arauzo de Miel
09021;ES-BU;ES-CL;Arauzo de Salce
09022;ES-BU;ES-CL;Arauzo de Torre
09023;ES-BU;ES-CL;Arcos
09024;ES-BU;ES-CL;Arenillas de Riopisuerga
09025;ES-BU;ES-CL;Arija
09026;ES-BU;ES-CL;Arlanzón
09027;ES-BU;ES-CL;Arraya de Oca
09029;ES-BU;ES-CL;Atapuerca
09030;ES-BU;ES-CL;Los Ausines
09032;ES-BU;ES-CL;Avellanosa de Muñó
09033;ES-BU;ES-CL;Bahabón de Esgueva
09034;ES-BU;ES-CL;Los Balbases
09035;ES-BU;ES-CL;Baños de Valdearados
09036;ES-BU;ES-CL;Bañuelos de Bureba
09037;ES-BU;ES-CL;Barbadillo de Herreros
09038;ES-BU;ES-CL;Barbadillo del Mercado
09039;ES-BU;ES-CL;Barbadillo del Pez
09041;ES-BU;ES-CL;Barrio de Muñó
09043;ES-BU;ES-CL;Los Barrios de Bureba
09044;ES-BU;ES-CL;Barrios de Colina
09045;ES-BU;ES-CL;Basconcillos del Tozo
09046;ES-BU;ES-CL;Bascuñana
09047;ES-BU;ES-CL;Belbimbre
09048;ES-BU;ES-CL;Belorado
09050;ES-BU;ES-CL;Berberana
09051;ES-BU;ES-CL;Berlangas de Roa
09052;ES-BU;ES-CL;Berzosa de Bureba
09054;ES-BU;ES-CL;Bozoó
09055;ES-BU;ES-CL;Brazacorta
09056;ES-BU;ES-CL;Briviesca
09057;ES-BU;ES-CL;Bugedo
09058;ES-BU;ES-CL;Buniel
09059;ES-BU;ES-CL;Burgos
09060;ES-BU;ES-CL;Busto de Bureba
09061;ES-BU;ES-CL;Cabañes de Esgueva
09062;ES-BU;ES-CL;Cabezón de la Sierra
09063;ES-BU;ES-CL;Cavia
09064;ES-BU;ES-CL;Caleruega
09065;ES-BU;ES-CL;Campillo de Aranda
09066;ES-BU;ES-CL;Campolara
09067;ES-BU;ES-CL;Canicosa de la Sierra
09068;ES-BU;ES-CL;Cantabrana
09070;ES-BU;ES-CL;Carazo
09071;ES-BU;ES-CL;Carcedo de Bureba
09072;ES-BU;ES-CL;Carcedo de Burgos
09073;ES-BU;ES-CL;Cardeñadijo
09074;ES-BU;ES-CL;Cardeñajimeno
09075;ES-BU;ES-CL;Cardeñuela Riopico
09076;ES-BU;ES-CL;Carrias
09077;ES-BU;ES-CL;Cascajares de Bureba
09078;ES-BU;ES-CL;Cascajares de la Sierra
09079;ES-BU;ES-CL;Castellanos de Castro
09082;ES-BU;ES-CL;Castildelgado
09083;ES-BU;ES-CL;Castil de Peones
09084;ES-BU;ES-CL;Castrillo de la Reina
09085;ES-BU;ES-CL;Castrillo de la Vega
09086;ES-BU;ES-CL;Castrillo del Val
09088;ES-BU;ES-CL;Castrillo de Riopisuerga
09090;ES-BU;ES-CL;Castrillo Mota de Judíos
09091;ES-BU;ES-CL;Castrojeriz
09093;ES-BU;ES-CL;Cayuela
09094;ES-BU;ES-CL;Cebrecos
09095;ES-BU;ES-CL;Celada del Camino
09098;ES-BU;ES-CL;Cerezo de Río Tirón
09100;ES-BU;ES-CL;Cerratón de Juarros
09101;ES-BU;ES-CL;Ciadoncha
09102;ES-BU;ES-CL;Cillaperlata
09103;ES-BU;ES-CL;Cilleruelo de Abajo
09104;ES-BU;ES-CL;Cilleruelo de Arriba
09105;ES-BU;ES-CL;Ciruelos de Cervera
09108;ES-BU;ES-CL;Cogollos
