id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
07001,Alaró,2021-01-01,7,106,0.93,894.61,16565.71,0.95
07002,Alaior,2021-01-01,43,396,0.89,2167.66,51051.25,0.96
07003,Alcúdia,2021-01-01,133,686,0.81,16458.83,105278.61,0.84
07004,Algaida,2021-01-01,33,130,0.75,3783.07,23808.56,0.84
07005,Andratx,2021-01-01,82,480,0.83,7245.46,88268.53,0.92
07006,Artà,2021-01-01,40,314,0.87,3565.16,49103.86,0.93
07007,Banyalbufar,2021-01-01,0,44,1.00,0.00,5688.59,1.00
07008,Binissalem,2021-01-01,15,143,0.90,1196.65,22948.54,0.95
07009,Búger,2021-01-01,4,50,0.92,216.69,4968.56,0.96
07010,Bunyola,2021-01-01,23,162,0.86,2742.53,40786.47,0.93
07011,Calvià,2021-01-01,299,1369,0.78,19464.77,289465.18,0.93
07012,Campanet,2021-01-01,13,54,0.76,1640.55,9615.30,0.83
07013,Campos,2021-01-01,50,294,0.83,6626.57,69789.50,0.91
07014,Capdepera,2021-01-01,74,525,0.86,8191.18,102293.22,0.92
07015,Ciutadella,2021-01-01,112,872,0.87,17575.52,137156.45,0.87
07016,Consell,2021-01-01,19,76,0.75,1307.80,10856.23,0.88
07017,Costitx,2021-01-01,13,54,0.76,1456.34,5200.30,0.72
07018,Deià,2021-01-01,8,39,0.79,1036.68,6199.81,0.83
07019,Escorca,2021-01-01,18,23,0.22,3968.75,5850.59,0.32
07020,Esporles,2021-01-01,36,159,0.77,8782.92,36241.97,0.76
07021,Estellencs,2021-01-01,23,37,0.38,2513.44,4890.75,0.49
07022,Felanitx,2021-01-01,125,510,0.75,20230.93,92378.40,0.78
07023,Ferreries,2021-01-01,25,155,0.84,4225.99,17171.83,0.75
07024,Formentera,2021-01-01,108,198,0.45,32562.39,53668.32,0.39
07025,Fornalutx,2021-01-01,7,30,0.77,405.53,2165.07,0.81
07026,Eivissa,2021-01-01,167,535,0.69,16230.15,78923.33,0.79
07027,Inca,2021-01-01,85,466,0.82,6726.64,65351.88,0.90
07028,Lloret de Vistalegre,2021-01-01,3,33,0.91,611.96,4345.03,0.86
07029,Lloseta,2021-01-01,24,108,0.78,2086.80,14877.39,0.86
07030,Llubí,2021-01-01,17,61,0.72,5794.36,14326.52,0.60
07031,Llucmajor,2021-01-01,145,734,0.80,12823.42,161131.40,0.92
07032,Maó,2021-01-01,90,670,0.87,15914.90,96749.83,0.84
07033,Manacor,2021-01-01,194,1067,0.82,32050.70,203716.34,0.84
07034,Mancor de la Vall,2021-01-01,10,47,0.79,787.32,6102.11,0.87
07035,Maria de la Salut,2021-01-01,16,85,0.81,1485.92,13270.52,0.89
07036,Marratxí,2021-01-01,265,925,0.71,26714.64,195365.95,0.86
07037,es Mercadal,2021-01-01,75,359,0.79,7980.28,63694.92,0.87
07038,Montuïri,2021-01-01,33,92,0.64,3723.05,12040.62,0.69
07039,Muro,2021-01-01,44,299,0.85,3364.94,41174.43,0.92
07040,Palma,2021-01-01,673,4037,0.83,73604.28,725393.65,0.90
07041,Petra,2021-01-01,16,113,0.86,2538.28,17166.87,0.85
07042,Pollença,2021-01-01,139,533,0.74,16932.72,84921.37,0.80
07043,Porreres,2021-01-01,19,105,0.82,2522.32,16219.46,0.84
07044,sa Pobla,2021-01-01,37,220,0.83,8273.17,53532.11,0.85
07045,Puigpunyent,2021-01-01,18,64,0.72,2771.91,14883.01,0.81
07046,Sant Antoni de Portmany,2021-01-01,329,588,0.44,119110.25,173535.47,0.31
07047,Sencelles,2021-01-01,10,50,0.80,590.15,7159.68,0.92
07048,Sant Josep de sa Talaia,2021-01-01,391,752,0.48,122003.24,235340.26,0.48
07049,Sant Joan,2021-01-01,12,66,0.82,2361.75,11987.23,0.80
07050,Sant Joan de Labritja,2021-01-01,75,104,0.28,26092.66,37876.44,0.31
07051,Sant Llorenç des Cardassar,2021-01-01,100,420,0.76,8851.40,66203.11,0.87
07052,Sant Lluís,2021-01-01,53,480,0.89,3707.84,73195.02,0.95
07053,Santa Eugènia,2021-01-01,12,40,0.70,1469.41,6485.55,0.77
07054,Santa Eulària des Riu,2021-01-01,532,1160,0.54,185960.19,340406.74,0.45
07055,Santa Margalida,2021-01-01,84,421,0.80,6185.20,78518.68,0.92
07056,Santa María del Camí,2021-01-01,1,136,0.99,69.79,17958.67,1.00
07057,Santanyí,2021-01-01,206,781,0.74,24441.81,133130.61,0.82
07058,Selva,2021-01-01,23,124,0.81,1896.71,14687.30,0.87
07059,ses Salines,2021-01-01,21,179,0.88,1729.08,34436.62,0.95
07060,Sineu,2021-01-01,46,176,0.74,4593.12,19955.12,0.77
07061,Sóller,2021-01-01,45,317,0.86,3510.39,45696.65,0.92
07062,Son Servera,2021-01-01,79,295,0.73,7220.63,49978.18,0.86
07063,Valldemossa,2021-01-01,35,123,0.72,10008.79,20722.30,0.52
07064,es Castell,2021-01-01,4,196,0.98,174.44,30150.67,0.99
07065,Vilafranca de Bonany,2021-01-01,10,63,0.84,948.39,16505.26,0.94
07901,Ariany,2021-01-01,6,49,0.88,377.66,8469.51,0.96
07902,es Migjorn Gran,2021-01-01,19,73,0.74,2495.97,10316.88,0.76
