id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
30001,Abanilla,2021-02-13,137,371,0.63,22266.49,52273.96,0.57
30002,Abarán,2021-02-13,70,247,0.72,8627.40,32376.47,0.73
30003,Águilas,2021-02-13,414,950,0.56,60768.36,149193.80,0.59
30004,Albudeite,2021-02-13,19,94,0.80,1016.72,9941.79,0.90
30005,Alcantarilla,2021-02-13,112,512,0.78,14569.70,83332.06,0.83
30006,Aledo,2021-02-13,26,76,0.66,2450.92,8010.56,0.69
30007,Alguazas,2021-02-13,60,172,0.65,8536.51,30052.23,0.72
30008,Alhama de Murcia,2021-02-13,171,748,0.77,17920.84,130649.77,0.86
30009,Archena,2021-02-13,123,483,0.75,9978.34,73878.33,0.86
30010,Beniel,2021-02-13,35,219,0.84,5325.14,29987.09,0.82
30011,Blanca,2021-02-13,25,160,0.84,1209.46,17376.23,0.93
30012,Bullas,2021-02-13,68,381,0.82,12714.62,71930.46,0.82
30013,Calasparra,2021-02-13,105,381,0.72,23226.92,67128.05,0.65
30014,Campos del Río,2021-02-13,11,101,0.89,564.09,14355.65,0.96
30015,Caravaca de la Cruz,2021-02-13,354,523,0.32,52808.98,81032.01,0.35
30016,Cartagena,2021-02-13,1523,6434,0.76,178301.89,809958.95,0.78
30017,Cehegín,2021-02-13,241,668,0.64,36991.18,91886.61,0.60
30018,Ceutí,2021-02-13,31,407,0.92,2295.75,63433.36,0.96
30019,Cieza,2021-02-13,53,395,0.87,7364.82,66255.19,0.89
30020,Fortuna,2021-02-13,128,362,0.65,32418.04,73128.47,0.56
30021,Fuente Álamo de Murcia,2021-02-13,518,879,0.41,105399.15,158153.24,0.33
30022,Jumilla,2021-02-13,142,378,0.62,20123.59,66713.89,0.70
30023,Librilla,2021-02-13,58,221,0.74,7729.80,26749.28,0.71
30024,Lorca,2021-02-13,830,2128,0.61,75201.20,229013.48,0.67
30025,Lorquí,2021-02-13,99,375,0.74,15911.65,70764.79,0.78
30026,Mazarrón,2021-02-13,643,1526,0.58,68623.71,237269.83,0.71
30027,Molina de Segura,2021-02-13,599,1601,0.63,121339.62,373157.48,0.67
30028,Moratalla,2021-02-13,255,461,0.45,25225.09,46366.13,0.46
30029,Mula,2021-02-13,104,480,0.78,12237.63,64157.20,0.81
30030,Murcia,2021-02-13,3894,9546,0.59,623746.11,1554101.68,0.60
30031,Ojós,2021-02-13,5,32,0.84,228.20,2877.68,0.92
30032,Pliego,2021-02-13,24,219,0.89,1500.38,21609.84,0.93
30033,Puerto Lumbreras,2021-02-13,74,407,0.82,6746.10,59383.05,0.89
30034,Ricote,2021-02-13,13,98,0.87,625.14,8764.29,0.93
30035,San Javier,2021-02-13,288,1131,0.75,34047.66,199427.11,0.83
30036,San Pedro del Pinatar,2021-02-13,119,774,0.85,20881.53,146125.17,0.86
30037,Torre Pacheco,2021-02-13,320,2030,0.84,32640.96,289212.97,0.89
30038,Las Torres de Cotillas,2021-02-13,148,576,0.74,25540.30,128748.58,0.80
30039,Totana,2021-02-13,215,611,0.65,27741.03,96870.61,0.71
30040,Ulea,2021-02-13,14,64,0.78,475.94,5129.00,0.91
30041,La Unión,2021-02-13,183,685,0.73,18559.88,78105.30,0.76
30042,Villanueva del Río Segura,2021-02-13,30,117,0.74,2287.35,14194.56,0.84
30043,Yecla,2021-02-13,259,482,0.46,52381.32,107776.20,0.51
30901,Santomera,2021-02-13,78,406,0.81,22093.78,64619.59,0.66
30902,Los Alcázares,2021-02-13,13,732,0.98,1074.78,147778.24,0.99
