id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
35001;ES-GC;ES-CN;Agaete;2020-01-01;34;194;0.82;2933.71;22276.59;0.87
35002;ES-GC;ES-CN;Agüimes;2020-01-01;58;737;0.92;4062.15;132753.25;0.97
35003;ES-GC;ES-CN;Antigua;2020-01-01;44;302;0.85;6309.99;67862.50;0.91
35004;ES-GC;ES-CN;Arrecife;2020-01-01;94;969;0.90;6884.84;124513.06;0.94
35005;ES-GC;ES-CN;Artenara;2020-01-01;3;27;0.89;347.72;6657.07;0.95
35006;ES-GC;ES-CN;Arucas;2020-01-01;28;649;0.96;1562.34;93480.31;0.98
35007;ES-GC;ES-CN;Betancuria;2020-01-01;12;48;0.75;2441.93;8558.27;0.71
35008;ES-GC;ES-CN;Firgas;2020-01-01;3;182;0.98;289.09;32977.00;0.99
35009;ES-GC;ES-CN;Gáldar;2020-01-01;21;566;0.96;1650.29;97255.22;0.98
35010;ES-GC;ES-CN;Haría;2020-01-01;10;249;0.96;346.98;37297.50;0.99
35011;ES-GC;ES-CN;Ingenio;2020-01-01;16;782;0.98;648.94;102340.55;0.99
35012;ES-GC;ES-CN;Mogán;2020-01-01;56;526;0.89;5152.51;91502.91;0.94
35013;ES-GC;ES-CN;Moya;2020-01-01;4;180;0.98;321.44;30915.14;0.99
35014;ES-GC;ES-CN;La Oliva;2020-01-01;230;958;0.76;40339.70;208022.82;0.81
35015;ES-GC;ES-CN;Pájara;2020-01-01;84;479;0.82;8042.56;65496.17;0.88
35016;ES-GC;ES-CN;Las Palmas de Gran Canaria;2020-01-01;241;3652;0.93;22446.39;560424.51;0.96
35017;ES-GC;ES-CN;Puerto del Rosario;2020-01-01;381;740;0.49;86981.68;179285.84;0.51
35018;ES-GC;ES-CN;San Bartolomé;2020-01-01;67;474;0.86;4111.68;65255.06;0.94
35019;ES-GC;ES-CN;San Bartolomé de Tirajana;2020-01-01;142;1217;0.88;14656.90;212463.06;0.93
35020;ES-GC;ES-CN;La Aldea de San Nicolás;2020-01-01;5;176;0.97;312.89;40344.08;0.99
35021;ES-GC;ES-CN;Santa Brígida;2020-01-01;13;369;0.96;1030.86;69431.81;0.99
35022;ES-GC;ES-CN;Santa Lucía de Tirajana;2020-01-01;98;858;0.89;6473.02;131654.77;0.95
35023;ES-GC;ES-CN;Santa María de Guía de Gran Canaria;2020-01-01;8;232;0.97;303.48;41097.56;0.99
35024;ES-GC;ES-CN;Teguise;2020-01-01;118;1076;0.89;7599.90;168803.06;0.95
35025;ES-GC;ES-CN;Tejeda;2020-01-01;3;43;0.93;524.77;12099.19;0.96
35026;ES-GC;ES-CN;Telde;2020-01-01;53;1914;0.97;3273.93;275282.76;0.99
35027;ES-GC;ES-CN;Teror;2020-01-01;7;270;0.97;389.45;36790.45;0.99
35028;ES-GC;ES-CN;Tías;2020-01-01;110;675;0.84;9183.30;119036.58;0.92
35029;ES-GC;ES-CN;Tinajo;2020-01-01;11;232;0.95;559.80;47334.22;0.99
35030;ES-GC;ES-CN;Tuineje;2020-01-01;112;369;0.70;22479.35;73746.32;0.70
35031;ES-GC;ES-CN;Valsequillo de Gran Canaria;2020-01-01;5;231;0.98;645.12;51132.44;0.99
35032;ES-GC;ES-CN;Valleseco;2020-01-01;4;77;0.95;271.94;19017.54;0.99
35033;ES-GC;ES-CN;Vega de San Mateo;2020-01-01;7;126;0.94;1332.95;27479.05;0.95
35034;ES-GC;ES-CN;Yaiza;2020-01-01;563;1542;0.63;43171.82;196508.75;0.78
