id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
06001;ES-BA;ES-EX;Acedera;2021-04-01;8;59;0.86;645.95;10497.87;0.94
06002;ES-BA;ES-EX;Aceuchal;2021-04-01;29;149;0.81;6007.27;28077.42;0.79
06003;ES-BA;ES-EX;Ahillones;2021-04-01;9;49;0.82;1006.27;7784.00;0.87
06004;ES-BA;ES-EX;Alange;2021-04-01;33;92;0.64;3400.69;13851.68;0.75
06005;ES-BA;ES-EX;La Albuera;2021-04-01;18;79;0.77;1901.75;13758.21;0.86
06006;ES-BA;ES-EX;Alburquerque;2021-04-01;35;214;0.84;2629.09;23718.36;0.89
06007;ES-BA;ES-EX;Alconchel;2021-04-01;32;109;0.71;2247.25;13234.07;0.83
06008;ES-BA;ES-EX;Alconera;2021-04-01;8;41;0.80;1085.34;5468.85;0.80
06009;ES-BA;ES-EX;Aljucén;2021-04-01;8;29;0.72;458.53;2694.26;0.83
06010;ES-BA;ES-EX;Almendral;2021-04-01;18;76;0.76;1362.78;9096.32;0.85
06011;ES-BA;ES-EX;Almendralejo;2021-04-01;65;655;0.90;14858.96;121144.68;0.88
06012;ES-BA;ES-EX;Arroyo de San Serván;2021-04-01;20;106;0.81;2434.68;21530.10;0.89
06013;ES-BA;ES-EX;Atalaya;2021-04-01;4;32;0.88;335.76;3119.42;0.89
06014;ES-BA;ES-EX;Azuaga;2021-04-01;46;257;0.82;2957.04;38477.95;0.92
06015;ES-BA;ES-EX;Badajoz;2021-04-01;241;2684;0.91;54151.08;456451.34;0.88
06016;ES-BA;ES-EX;Barcarrota;2021-04-01;21;70;0.70;2278.64;13562.38;0.83
06017;ES-BA;ES-EX;Baterno;2021-04-01;2;24;0.92;275.83;2169.94;0.87
06018;ES-BA;ES-EX;Benquerencia de la Serena;2021-04-01;36;51;0.29;6921.81;11207.90;0.38
06019;ES-BA;ES-EX;Berlanga;2021-04-01;40;90;0.56;4673.51;16484.49;0.72
06020;ES-BA;ES-EX;Bienvenida;2021-04-01;5;79;0.94;211.45;11765.18;0.98
06021;ES-BA;ES-EX;Bodonal de la Sierra;2021-04-01;5;48;0.90;324.96;7164.62;0.95
06022;ES-BA;ES-EX;Burguillos del Cerro;2021-04-01;31;161;0.81;2435.68;21484.85;0.89
06023;ES-BA;ES-EX;Cabeza del Buey;2021-04-01;83;156;0.47;12283.54;30289.29;0.59
06024;ES-BA;ES-EX;Cabeza la Vaca;2021-04-01;6;78;0.92;704.50;9823.24;0.93
06025;ES-BA;ES-EX;Calamonte;2021-04-01;24;145;0.83;1172.45;22914.39;0.95
06026;ES-BA;ES-EX;Calera de León;2021-04-01;7;49;0.86;499.95;4610.82;0.89
06027;ES-BA;ES-EX;Calzadilla de los Barros;2021-04-01;10;74;0.86;689.82;8044.58;0.91
06028;ES-BA;ES-EX;Campanario;2021-04-01;39;258;0.85;3801.68;33489.17;0.89
06029;ES-BA;ES-EX;Campillo de Llerena;2021-04-01;17;41;0.59;2236.59;7811.76;0.71
06030;ES-BA;ES-EX;Capilla;2021-04-01;11;29;0.62;1002.03;3936.74;0.75
06031;ES-BA;ES-EX;Carmonita;2021-04-01;11;38;0.71;672.86;3689.47;0.82
06032;ES-BA;ES-EX;El Carrascalejo;2021-04-01;7;16;0.56;467.76;1470.71;0.68
06033;ES-BA;ES-EX;Casas de Don Pedro;2021-04-01;59;107;0.45;9766.78;18386.24;0.47
06034;ES-BA;ES-EX;Casas de Reina;2021-04-01;1;34;0.97;20.22;3394.28;0.99
06035;ES-BA;ES-EX;Castilblanco;2021-04-01;27;110;0.75;3367.79;14443.13;0.77
06036;ES-BA;ES-EX;Castuera;2021-04-01;47;238;0.80;4318.61;39188.59;0.89
06037;ES-BA;ES-EX;La Codosera;2021-04-01;24;113;0.79;1648.88;14192.26;0.88
06038;ES-BA;ES-EX;Cordobilla de Lácara;2021-04-01;6;41;0.85;292.41;6089.30;0.95
06039;ES-BA;ES-EX;La Coronada;2021-04-01;23;109;0.79;2099.12;16026.21;0.87
06040;ES-BA;ES-EX;Corte de Peleas;2021-04-01;4;38;0.89;597.27;7289.83;0.92
06041;ES-BA;ES-EX;Cristina;2021-04-01;4;29;0.86;258.50;3909.27;0.93
06042;ES-BA;ES-EX;Cheles;2021-04-01;17;69;0.75;1375.90;9082.01;0.85
06043;ES-BA;ES-EX;Don Álvaro;2021-04-01;6;58;0.90;1564.78;7778.23;0.80
06044;ES-BA;ES-EX;Don Benito;2021-04-01;311;959;0.68;45268.31;158000.75;0.71
06045;ES-BA;ES-EX;Entrín Bajo;2021-04-01;5;33;0.85;959.90;4239.43;0.77
06046;ES-BA;ES-EX;Esparragalejo;2021-04-01;9;53;0.83;508.12;7959.79;0.94
06047;ES-BA;ES-EX;Esparragosa de la Serena;2021-04-01;9;58;0.84;258.49;6901.09;0.96
06048;ES-BA;ES-EX;Esparragosa de Lares;2021-04-01;5;59;0.92;624.81;8363.45;0.93
06049;ES-BA;ES-EX;Feria;2021-04-01;10;78;0.87;2554.65;10243.24;0.75
06050;ES-BA;ES-EX;Fregenal de la Sierra;2021-04-01;24;270;0.91;2853.25;28141.78;0.90
06051;ES-BA;ES-EX;Fuenlabrada de los Montes;2021-04-01;29;140;0.79;3458.72;17037.51;0.80
06052;ES-BA;ES-EX;Fuente de Cantos;2021-04-01;47;223;0.79;3626.83;28761.85;0.87
06053;ES-BA;ES-EX;Fuente del Arco;2021-04-01;2;47;0.96;159.06;3958.69;0.96
