id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
01001;ES-VI;ES-PV;Alegría-Dulantzi;2023-04-01;5;114;0.96;325.49;13550.84;0.98
01002;ES-VI;ES-PV;Amurrio;2023-04-01;40;281;0.86;2713.63;41277.27;0.93
01003;ES-VI;ES-PV;Aramaio;2023-04-01;3;52;0.94;77.60;5546.10;0.99
01004;ES-VI;ES-PV;Artziniega;2023-04-01;113;114;0.01;11164.46;11378.68;0.02
01006;ES-VI;ES-PV;Armiñón;2023-04-01;0;35;1.00;0.00;4058.98;1.00
01008;ES-VI;ES-PV;Arratzua-Ubarrundia;2023-04-01;1;93;0.99;11.35;14575.47;1.00
01009;ES-VI;ES-PV;Asparrena;2023-04-01;3;163;0.98;285.73;19994.90;0.99
01010;ES-VI;ES-PV;Ayala/Aiara;2023-04-01;51;234;0.78;4029.01;36427.62;0.89
01011;ES-VI;ES-PV;Baños de Ebro/Mañueta;2023-04-01;0;32;1.00;0.00;4350.97;1.00
01013;ES-VI;ES-PV;Barrundia;2023-04-01;1;149;0.99;87.09;22489.60;1.00
01014;ES-VI;ES-PV;Berantevilla;2023-04-01;0;89;1.00;0.00;10635.07;1.00
01016;ES-VI;ES-PV;Bernedo;2023-04-01;3;161;0.98;65.13;14816.85;1.00
01017;ES-VI;ES-PV;Campezo/Kanpezu;2023-04-01;0;149;1.00;0.00;13179.72;1.00
01018;ES-VI;ES-PV;Zigoitia;2023-04-01;1;211;1.00;124.55;32429.13;1.00
01019;ES-VI;ES-PV;Kripan;2023-04-01;0;25;1.00;0.00;2424.04;1.00
01020;ES-VI;ES-PV;Kuartango;2023-04-01;5;100;0.95;149.51;13675.16;0.99
01021;ES-VI;ES-PV;Elburgo/Burgelu;2023-04-01;2;61;0.97;90.15;8757.46;0.99
01022;ES-VI;ES-PV;Elciego;2023-04-01;3;83;0.96;585.93;8054.17;0.93
01023;ES-VI;ES-PV;Elvillar/Bilar;2023-04-01;0;37;1.00;0.00;4685.21;1.00
01027;ES-VI;ES-PV;Iruraiz-Gauna;2023-04-01;0;69;1.00;0.00;9680.55;1.00
01028;ES-VI;ES-PV;Labastida/Bastida;2023-04-01;4;144;0.97;256.60;17196.57;0.99
01030;ES-VI;ES-PV;Lagrán;2023-04-01;0;68;1.00;0.00;5203.63;1.00
01031;ES-VI;ES-PV;Laguardia;2023-04-01;0;117;1.00;0.00;15664.45;1.00
01032;ES-VI;ES-PV;Lanciego/Lantziego;2023-04-01;0;53;1.00;0.00;5359.95;1.00
01033;ES-VI;ES-PV;Lapuebla de Labarca;2023-04-01;7;51;0.86;373.70;6918.80;0.95
01034;ES-VI;ES-PV;Leza;2023-04-01;0;30;1.00;0.00;3596.90;1.00
01036;ES-VI;ES-PV;Laudio/Llodio;2023-04-01;33;262;0.87;1329.96;37812.57;0.96
01037;ES-VI;ES-PV;Arraia-Maeztu;2023-04-01;2;177;0.99;57.66;16707.98;1.00
01039;ES-VI;ES-PV;Moreda de Álava;2023-04-01;0;27;1.00;0.00;2679.19;1.00
01041;ES-VI;ES-PV;Navaridas;2023-04-01;0;29;1.00;0.00;2641.27;1.00
01042;ES-VI;ES-PV;Okondo;2023-04-01;1;18;0.94;24.62;2555.11;0.99
01043;ES-VI;ES-PV;Oyón/Oion;2023-04-01;5;101;0.95;532.37;15961.18;0.97
01044;ES-VI;ES-PV;Peñacerrada-Urizaharra;2023-04-01;3;85;0.96;258.36;7899.58;0.97
01046;ES-VI;ES-PV;Erriberagoitia/Ribera Alta;2023-04-01;5;172;0.97;81.01;19348.66;1.00
01047;ES-VI;ES-PV;Ribera Baja/Erribera Beitia;2023-04-01;0;114;1.00;0.00;19195.28;1.00
01049;ES-VI;ES-PV;Añana;2023-04-01;0;37;1.00;0.00;3508.24;1.00
01051;ES-VI;ES-PV;Agurain/Salvatierra;2023-04-01;0;118;1.00;0.00;18597.19;1.00
01052;ES-VI;ES-PV;Samaniego;2023-04-01;0;31;1.00;0.00;6013.03;1.00
01053;ES-VI;ES-PV;San Millán/Donemiliaga;2023-04-01;3;199;0.98;134.74;23034.23;0.99
01054;ES-VI;ES-PV;Urkabustaiz;2023-04-01;7;141;0.95;497.30;29247.47;0.98
01055;ES-VI;ES-PV;Valdegovía/Gaubea;2023-04-01;1;269;1.00;85.33;31125.06;1.00
01056;ES-VI;ES-PV;Valle de Arana/Harana;2023-04-01;4;72;0.94;298.03;6138.06;0.95
01057;ES-VI;ES-PV;Villabuena de Álava/Eskuernaga;2023-04-01;0;15;1.00;0.00;3602.66;1.00
01058;ES-VI;ES-PV;Legutio;2023-04-01;5;117;0.96;267.78;18598.90;0.99
01059;ES-VI;ES-PV;Vitoria-Gasteiz;2023-04-01;104;2777;0.96;12435.99;400628.42;0.97
01060;ES-VI;ES-PV;Yécora/Iekora;2023-04-01;0;36;1.00;0.00;4460.07;1.00
01061;ES-VI;ES-PV;Zalduondo;2023-04-01;0;39;1.00;0.00;3871.65;1.00
01062;ES-VI;ES-PV;Zambrana;2023-04-01;0;95;1.00;0.00;7281.08;1.00
01063;ES-VI;ES-PV;Zuia;2023-04-01;14;219;0.94;1109.51;35088.17;0.97
01901;ES-VI;ES-PV;Iruña Oka/Iruña de Oca;2023-04-01;0;304;1.00;0.00;35302.05;1.00
01902;ES-VI;ES-PV;Lantarón;2023-04-01;0;166;1.00;0.00;19894.48;1.00
-11179951;ES-VI;ES-PV;Entzia-Goiengo partzuergoa/Parzonería de Entzia-Arriba;2023-04-01;0;0;1;0.00;0.00;1
-11179952;ES-VI;ES-PV;Iturrietako partzuergoa/Parzonería de Iturrieta;2023-04-01;0;0;1;0.00;0.00;1
-4118250;ES-VI;ES-PV;Entziako partzuergoa/Parzonería de Entzia;2023-04-01;0;0;1;0.00;0.00;1
-7278919;ES-VI;ES-PV;Comunidad de la Sierra Brava de Badaya/Badaiako Mendilerroko Erkidegoa;2023-04-01;0;0;1;0.00;0.00;1
