id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
38001,ES-TF,ES-CN,Adeje,2021-03-07,472,1159,0.59,44353.71,155050.01,0.71
38002,ES-TF,ES-CN,Agulo,2021-03-07,12,29,0.59,6157.29,7658.25,0.20
38003,ES-TF,ES-CN,Alajeró,2021-03-07,107,132,0.19,11389.89,15546.49,0.27
38004,ES-TF,ES-CN,Arafo,2021-03-07,55,209,0.74,5496.61,28351.14,0.81
38005,ES-TF,ES-CN,Arico,2021-03-07,127,438,0.71,14409.62,59522.95,0.76
38006,ES-TF,ES-CN,Arona,2021-03-07,478,1682,0.72,54084.17,225928.45,0.76
38007,ES-TF,ES-CN,Barlovento,2021-03-07,33,51,0.35,7503.86,11117.90,0.33
38008,ES-TF,ES-CN,Breña Alta,2021-03-07,113,252,0.55,15138.37,41565.72,0.64
38009,ES-TF,ES-CN,Breña Baja,2021-03-07,56,157,0.64,8124.20,30771.98,0.74
38010,ES-TF,ES-CN,Buenavista del Norte,2021-03-07,97,220,0.56,8096.79,25220.25,0.68
38011,ES-TF,ES-CN,Candelaria,2021-03-07,155,522,0.70,18103.29,72400.92,0.75
38012,ES-TF,ES-CN,Fasnia,2021-03-07,30,98,0.69,3764.36,18692.72,0.80
38013,ES-TF,ES-CN,Frontera,2021-03-07,28,152,0.82,1817.36,20710.59,0.91
38014,ES-TF,ES-CN,Fuencaliente de la Palma,2021-03-07,66,120,0.45,6144.23,14539.34,0.58
38015,ES-TF,ES-CN,Garachico,2021-03-07,46,210,0.78,5220.35,24981.13,0.79
38016,ES-TF,ES-CN,Garafía,2021-03-07,35,57,0.39,12480.56,14387.48,0.13
38017,ES-TF,ES-CN,Granadilla de Abona,2021-03-07,325,1069,0.70,41077.52,159891.01,0.74
38018,ES-TF,ES-CN,La Guancha,2021-03-07,67,194,0.65,6407.50,24629.10,0.74
38019,ES-TF,ES-CN,Guía de Isora,2021-03-07,82,475,0.83,10014.48,63172.83,0.84
38020,ES-TF,ES-CN,Güímar,2021-03-07,144,448,0.68,13759.67,62169.43,0.78
38021,ES-TF,ES-CN,Hermigua,2021-03-07,25,29,0.14,6423.55,7030.33,0.09
38022,ES-TF,ES-CN,Icod de los Vinos,2021-03-07,406,707,0.43,55700.08,105022.40,0.47
38024,ES-TF,ES-CN,Los Llanos de Aridane,2021-03-07,137,429,0.68,17158.42,70803.55,0.76
38025,ES-TF,ES-CN,La Matanza de Acentejo,2021-03-07,65,145,0.55,7000.94,27627.85,0.75
38026,ES-TF,ES-CN,La Orotava,2021-03-07,487,1018,0.52,59764.15,153642.37,0.61
38027,ES-TF,ES-CN,El Paso,2021-03-07,86,217,0.60,12852.75,53801.03,0.76
38028,ES-TF,ES-CN,Puerto de la Cruz,2021-03-07,108,680,0.84,7067.07,73739.07,0.90
38029,ES-TF,ES-CN,Puntagorda,2021-03-07,20,79,0.75,5285.50,24160.96,0.78
38030,ES-TF,ES-CN,Puntallana,2021-03-07,56,84,0.33,7276.59,12995.18,0.44
38031,ES-TF,ES-CN,Los Realejos,2021-03-07,196,674,0.71,27728.58,100250.72,0.72
38032,ES-TF,ES-CN,El Rosario,2021-03-07,52,329,0.84,5534.20,58821.65,0.91
38033,ES-TF,ES-CN,San Andrés y Sauces,2021-03-07,30,83,0.64,6707.34,17680.75,0.62
38034,ES-TF,ES-CN,San Juan de la Rambla,2021-03-07,50,149,0.66,7440.92,22131.02,0.66
38035,ES-TF,ES-CN,San Miguel de Abona,2021-03-07,238,485,0.51,36839.19,91969.04,0.60
38036,ES-TF,ES-CN,San Sebastián de la Gomera,2021-03-07,119,206,0.42,19180.82,32346.71,0.41
38037,ES-TF,ES-CN,Santa Cruz de la Palma,2021-03-07,80,287,0.72,5950.49,26021.53,0.77
38038,ES-TF,ES-CN,Santa Cruz de Tenerife,2021-03-07,472,3019,0.84,30033.55,369754.25,0.92
38039,ES-TF,ES-CN,Santa Úrsula,2021-03-07,61,462,0.87,3950.75,57667.79,0.93
38040,ES-TF,ES-CN,Santiago del Teide,2021-03-07,55,274,0.80,3529.44,31958.40,0.89
38041,ES-TF,ES-CN,El Sauzal,2021-03-07,53,199,0.73,6965.56,38756.89,0.82
38042,ES-TF,ES-CN,Los Silos,2021-03-07,16,195,0.92,594.29,21201.01,0.97
38043,ES-TF,ES-CN,Tacoronte,2021-03-07,154,440,0.65,17840.79,92593.83,0.81
38044,ES-TF,ES-CN,El Tanque,2021-03-07,50,127,0.61,4827.10,17500.76,0.72
38045,ES-TF,ES-CN,Tazacorte,2021-03-07,37,97,0.62,2873.36,8956.12,0.68
38046,ES-TF,ES-CN,Tegueste,2021-03-07,53,275,0.81,4370.47,43016.61,0.90
38047,ES-TF,ES-CN,Tijarafe,2021-03-07,54,89,0.39,14304.81,26208.94,0.45
38048,ES-TF,ES-CN,Valverde,2021-03-07,84,297,0.72,10269.77,43061.69,0.76
38049,ES-TF,ES-CN,Valle Gran Rey,2021-03-07,25,135,0.81,2695.59,18577.17,0.85
38050,ES-TF,ES-CN,Vallehermoso,2021-03-07,74,87,0.15,15148.27,19577.85,0.23
38051,ES-TF,ES-CN,La Victoria de Acentejo,2021-03-07,18,101,0.82,1656.34,25075.66,0.93
38052,ES-TF,ES-CN,Vilaflor,2021-03-07,34,77,0.56,3307.34,8898.74,0.63
38053,ES-TF,ES-CN,Villa de Mazo,2021-03-07,109,139,0.22,21804.09,28652.39,0.24
