id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
30001,Abanilla,2021-03-01,137,371,0.63,22266.49,52273.96,0.57
30002,Abarán,2021-03-01,70,247,0.72,8627.40,32376.47,0.73
30003,Águilas,2021-03-01,416,952,0.56,60845.76,149271.20,0.59
30004,Albudeite,2021-03-01,19,94,0.80,1016.72,9941.79,0.90
30005,Alcantarilla,2021-03-01,112,512,0.78,14569.70,83332.06,0.83
30006,Aledo,2021-03-01,26,76,0.66,2450.92,8010.56,0.69
30007,Alguazas,2021-03-01,60,172,0.65,8536.51,30052.23,0.72
30008,Alhama de Murcia,2021-03-01,176,768,0.77,17504.72,130309.53,0.87
30009,Archena,2021-03-01,123,483,0.75,9978.34,73878.33,0.86
30010,Beniel,2021-03-01,35,219,0.84,5325.14,29987.09,0.82
30011,Blanca,2021-03-01,25,160,0.84,1209.46,17376.23,0.93
30012,Bullas,2021-03-01,68,381,0.82,12714.62,71930.46,0.82
30013,Calasparra,2021-03-01,105,382,0.73,23226.92,67128.82,0.65
30014,Campos del Río,2021-03-01,11,101,0.89,564.09,14355.65,0.96
30015,Caravaca de la Cruz,2021-03-01,354,523,0.32,52808.98,81032.01,0.35
30016,Cartagena,2021-03-01,1528,6439,0.76,178423.72,810080.78,0.78
30017,Cehegín,2021-03-01,241,668,0.64,36991.18,91886.61,0.60
30018,Ceutí,2021-03-01,31,407,0.92,2295.75,63433.36,0.96
30019,Cieza,2021-03-01,53,395,0.87,7364.82,66255.19,0.89
30020,Fortuna,2021-03-01,128,362,0.65,32418.04,73128.47,0.56
30021,Fuente Álamo de Murcia,2021-03-01,518,879,0.41,105412.66,158160.64,0.33
30022,Jumilla,2021-03-01,142,378,0.62,20123.59,66713.89,0.70
30023,Librilla,2021-03-01,58,221,0.74,7729.80,26749.28,0.71
30024,Lorca,2021-03-01,831,2131,0.61,75548.29,229823.69,0.67
30025,Lorquí,2021-03-01,99,375,0.74,15911.65,70764.79,0.78
30026,Mazarrón,2021-03-01,653,1557,0.58,66504.93,238337.42,0.72
30027,Molina de Segura,2021-03-01,599,1601,0.63,121339.62,373157.48,0.67
30028,Moratalla,2021-03-01,255,461,0.45,25225.09,46366.13,0.46
30029,Mula,2021-03-01,105,481,0.78,12246.97,64166.59,0.81
30030,Murcia,2021-03-01,3897,9549,0.59,623789.16,1554132.60,0.60
30031,Ojós,2021-03-01,5,32,0.84,228.20,2877.68,0.92
30032,Pliego,2021-03-01,24,219,0.89,1500.38,21609.84,0.93
30033,Puerto Lumbreras,2021-03-01,74,407,0.82,6746.10,59383.05,0.89
30034,Ricote,2021-03-01,13,98,0.87,625.14,8764.29,0.93
30035,San Javier,2021-03-01,288,1131,0.75,34047.66,199427.11,0.83
30036,San Pedro del Pinatar,2021-03-01,119,774,0.85,20881.53,146125.17,0.86
30037,Torre Pacheco,2021-03-01,320,2030,0.84,32640.96,289212.97,0.89
30038,Las Torres de Cotillas,2021-03-01,148,576,0.74,25540.30,128748.58,0.80
30039,Totana,2021-03-01,215,615,0.65,27741.03,96870.61,0.71
30040,Ulea,2021-03-01,14,64,0.78,475.94,5129.00,0.91
30041,La Unión,2021-03-01,183,685,0.73,18559.88,78105.30,0.76
30042,Villanueva del Río Segura,2021-03-01,30,117,0.74,2287.35,14194.56,0.84
30043,Yecla,2021-03-01,259,482,0.46,52381.32,107776.22,0.51
30901,Santomera,2021-03-01,78,406,0.81,22093.78,64619.59,0.66
30902,Los Alcázares,2021-03-01,13,732,0.98,1074.78,147778.24,0.99
