id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
02001,ES-AB,ES-CM,Abengibre,2021-03-07,11,79,0.86,311.04,9092.71,0.97
02002,ES-AB,ES-CM,Alatoz,2021-03-07,12,59,0.80,444.78,7476.44,0.94
02003,ES-AB,ES-CM,Albacete,2021-03-07,420,2106,0.80,54483.99,347567.60,0.84
02004,ES-AB,ES-CM,Albatana,2021-03-07,28,72,0.61,2725.63,9449.28,0.71
02005,ES-AB,ES-CM,Alborea,2021-03-07,23,79,0.71,1964.10,10096.96,0.81
02006,ES-AB,ES-CM,Alcadozo,2021-03-07,48,107,0.55,3596.43,12663.74,0.72
02007,ES-AB,ES-CM,Alcalá del Júcar,2021-03-07,76,159,0.52,7706.74,19674.29,0.61
02008,ES-AB,ES-CM,Alcaraz,2021-03-07,77,210,0.63,5577.82,20738.98,0.73
02009,ES-AB,ES-CM,Almansa,2021-03-07,95,450,0.79,12148.67,82122.63,0.85
02010,ES-AB,ES-CM,Alpera,2021-03-07,27,88,0.69,3682.35,16621.14,0.78
02011,ES-AB,ES-CM,Ayna,2021-03-07,107,221,0.52,7058.06,13942.78,0.49
02012,ES-AB,ES-CM,Balazote,2021-03-07,61,156,0.61,7892.49,21019.78,0.62
02013,ES-AB,ES-CM,Balsa de Ves,2021-03-07,18,91,0.80,1434.99,9485.66,0.85
02014,ES-AB,ES-CM,El Ballestero,2021-03-07,9,53,0.83,1006.72,7391.70,0.86
02015,ES-AB,ES-CM,Barrax,2021-03-07,19,151,0.87,1113.32,24713.87,0.95
02016,ES-AB,ES-CM,Bienservida,2021-03-07,22,102,0.78,1044.51,8443.75,0.88
02017,ES-AB,ES-CM,Bogarra,2021-03-07,135,255,0.47,6498.85,14229.18,0.54
02018,ES-AB,ES-CM,Bonete,2021-03-07,27,66,0.59,2523.47,8418.55,0.70
02019,ES-AB,ES-CM,El Bonillo,2021-03-07,36,119,0.70,8705.12,25999.72,0.67
02020,ES-AB,ES-CM,Carcelén,2021-03-07,7,56,0.88,560.23,4357.50,0.87
02021,ES-AB,ES-CM,Casas de Juan Núñez,2021-03-07,11,75,0.85,1670.64,13745.55,0.88
02022,ES-AB,ES-CM,Casas de Lázaro,2021-03-07,68,110,0.38,5061.26,9916.53,0.49
02023,ES-AB,ES-CM,Casas de Ves,2021-03-07,7,75,0.91,692.81,12387.02,0.94
02024,ES-AB,ES-CM,Casas-Ibáñez,2021-03-07,27,180,0.85,2220.27,24739.32,0.91
02025,ES-AB,ES-CM,Caudete,2021-03-07,72,303,0.76,11511.52,49859.98,0.77
02026,ES-AB,ES-CM,Cenizate,2021-03-07,14,87,0.84,1060.79,12576.86,0.92
02027,ES-AB,ES-CM,Corral-Rubio,2021-03-07,11,45,0.76,724.35,4406.56,0.84
02028,ES-AB,ES-CM,Cotillas,2021-03-07,11,71,0.85,302.65,3453.39,0.91
02029,ES-AB,ES-CM,Chinchilla de Monte-Aragón,2021-03-07,148,431,0.66,24086.43,58646.88,0.59
02030,ES-AB,ES-CM,Elche de la Sierra,2021-03-07,175,488,0.64,10350.93,45005.01,0.77
02031,ES-AB,ES-CM,Férez,2021-03-07,31,88,0.65,2123.86,7715.10,0.72
02032,ES-AB,ES-CM,Fuensanta,2021-03-07,29,80,0.64,1466.31,7168.21,0.80
