id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
31001;ES-NA;ES-NC;Abáigar;2017-11-01;8;8;0.00;1426.40;1426.40;0.00
31002;ES-NA;ES-NC;Abárzuza;2017-11-01;45;45;0.00;4849.12;4849.12;0.00
31003;ES-NA;ES-NC;Abaurregaina/Abaurrea Alta;2017-11-01;7;7;0.00;715.54;715.54;0.00
31004;ES-NA;ES-NC;Abaurrepea/Abaurrea Baja;2017-11-01;0;0;1;0.00;0.00;1
31005;ES-NA;ES-NC;Aberin;2017-11-01;15;15;0.00;2368.23;2368.23;0.00
31006;ES-NA;ES-NC;Ablitas;2017-11-01;61;69;0.12;12061.34;13095.24;0.08
31007;ES-NA;ES-NC;Adiós;2017-11-01;10;10;0.00;1577.89;1577.89;0.00
31008;ES-NA;ES-NC;Aguilar de Codés;2017-11-01;8;8;0.00;1657.07;1657.07;0.00
31009;ES-NA;ES-NC;Aibar/Oibar;2017-11-01;29;29;0.00;4922.55;4922.55;0.00
31010;ES-NA;ES-NC;Altsasu/Alsasua;2017-11-01;94;159;0.41;8918.73;18773.39;0.52
31011;ES-NA;ES-NC;Allín;2017-11-01;74;76;0.03;10759.60;10978.76;0.02
31012;ES-NA;ES-NC;Allo;2017-11-01;44;45;0.02;6354.09;6611.71;0.04
31013;ES-NA;ES-NC;Améscoa Baja;2017-11-01;64;88;0.27;7203.87;10494.58;0.31
31014;ES-NA;ES-NC;Ancín;2017-11-01;33;33;0.00;5690.37;5690.37;0.00
31015;ES-NA;ES-NC;Andosilla;2017-11-01;86;86;0.00;10617.69;10617.69;0.00
31016;ES-NA;ES-NC;Ansoáin;2017-11-01;10;56;0.82;919.61;10114.39;0.91
31017;ES-NA;ES-NC;Anue;2017-11-01;18;18;0.00;2373.22;2373.22;0.00
31018;ES-NA;ES-NC;Añorbe;2017-11-01;16;16;0.00;3370.99;3370.99;0.00
31019;ES-NA;ES-NC;Aoiz/Agoitz;2017-11-01;62;62;0.00;11957.22;11957.22;0.00
31020;ES-NA;ES-NC;Araitz;2017-11-01;14;21;0.33;875.60;1555.02;0.44
31021;ES-NA;ES-NC;Aranarache;2017-11-01;9;9;0.00;1113.09;1113.09;0.00
31022;ES-NA;ES-NC;Arantza;2017-11-01;25;26;0.04;1857.68;2223.82;0.16
31023;ES-NA;ES-NC;Aranguren;2017-11-01;104;357;0.71;10521.37;43475.76;0.76
31024;ES-NA;ES-NC;Arano;2017-11-01;8;8;0.00;501.63;501.63;0.00
31025;ES-NA;ES-NC;Arakil;2017-11-01;52;59;0.12;6414.46;7545.23;0.15
31026;ES-NA;ES-NC;Aras;2017-11-01;19;43;0.56;1751.26;3333.79;0.47
31027;ES-NA;ES-NC;Arbizu;2017-11-01;15;34;0.56;1333.49;4251.29;0.69
31028;ES-NA;ES-NC;Arce/Artzi;2017-11-01;48;48;0.00;5470.30;5470.30;0.00
31029;ES-NA;ES-NC;Los Arcos;2017-11-01;32;47;0.32;4087.94;5924.20;0.31
31030;ES-NA;ES-NC;Arellano;2017-11-01;17;17;0.00;2915.86;2915.86;0.00
31031;ES-NA;ES-NC;Areso;2017-11-01;31;31;0.00;4117.45;4117.45;0.00
31032;ES-NA;ES-NC;Arguedas;2017-11-01;90;93;0.03;12156.94;12554.80;0.03
31033;ES-NA;ES-NC;Aria;2017-11-01;4;5;0.20;171.39;242.48;0.29
31034;ES-NA;ES-NC;Aribe;2017-11-01;2;2;0.00;287.18;287.18;0.00
31035;ES-NA;ES-NC;Armañanzas;2017-11-01;12;12;0.00;1300.56;1300.56;0.00
31036;ES-NA;ES-NC;Arróniz;2017-11-01;47;47;0.00;6745.72;6745.72;0.00
31037;ES-NA;ES-NC;Arruazu;2017-11-01;7;7;0.00;625.17;625.17;0.00
31038;ES-NA;ES-NC;Artajona;2017-11-01;50;54;0.07;8521.29;9790.34;0.13
31039;ES-NA;ES-NC;Artazu;2017-11-01;6;6;0.00;792.81;792.81;0.00
31040;ES-NA;ES-NC;Atez;2017-11-01;15;15;0.00;2515.92;2515.92;0.00
31041;ES-NA;ES-NC;Ayegui;2017-11-01;57;107;0.47;15720.87;20506.95;0.23
31042;ES-NA;ES-NC;Azagra;2017-11-01;68;77;0.12;11359.57;13557.19;0.16
31043;ES-NA;ES-NC;Azuelo;2017-11-01;7;7;0.00;764.10;764.10;0.00
31044;ES-NA;ES-NC;Bakaiku;2017-11-01;22;22;0.00;2261.98;2261.98;0.00
31045;ES-NA;ES-NC;Barásoain;2017-11-01;34;34;0.00;5209.24;5209.24;0.00
31046;ES-NA;ES-NC;Barbarin;2017-11-01;8;8;0.00;1338.69;1338.69;0.00
31047;ES-NA;ES-NC;Bargota;2017-11-01;22;22;0.00;3601.28;3601.28;0.00
31048;ES-NA;ES-NC;Barillas;2017-11-01;14;21;0.33;1155.57;3204.88;0.64
31049;ES-NA;ES-NC;Basaburúa Mayor;2017-11-01;69;69;0.00;8742.63;8742.63;0.00
31050;ES-NA;ES-NC;Baztan;2017-11-01;205;252;0.19;25271.24;36504.25;0.31
31051;ES-NA;ES-NC;Beire;2017-11-01;22;28;0.21;2396.49;3719.11;0.36
