id;prov;ccaa;name;date;incomplete;total;percentage;length_incomplete;length_total;length_percentage
01001;ES-VI;ES-PV;Alegría-Dulantzi;2020-03-01;5;114;0.96;325.49;13553.29;0.98
01002;ES-VI;ES-PV;Amurrio;2020-03-01;0;225;1.00;0.00;39620.07;1.00
01003;ES-VI;ES-PV;Aramaio;2020-03-01;4;53;0.92;294.00;5762.26;0.95
01004;ES-VI;ES-PV;Artziniega / Arceniega;2020-03-01;57;58;0.02;6860.67;7084.43;0.03
01006;ES-VI;ES-PV;Armiñón;2020-03-01;0;35;1.00;0.00;4058.98;1.00
01008;ES-VI;ES-PV;Arratzua-Ubarrundia;2020-03-01;0;93;1.00;0.00;14357.10;1.00
01009;ES-VI;ES-PV;Asparrena;2020-03-01;3;153;0.98;285.73;19986.07;0.99
01010;ES-VI;ES-PV;Ayala/Aiara;2020-03-01;0;155;1.00;0.00;34271.06;1.00
01011;ES-VI;ES-PV;Baños de Ebro/Mañueta;2020-03-01;0;32;1.00;0.00;4350.97;1.00
01013;ES-VI;ES-PV;Barrundia;2020-03-01;0;148;1.00;0.00;22402.52;1.00
01014;ES-VI;ES-PV;Berantevilla;2020-03-01;0;86;1.00;0.00;10452.69;1.00
01016;ES-VI;ES-PV;Bernedo;2020-03-01;0;141;1.00;0.00;13074.82;1.00
01017;ES-VI;ES-PV;Campezo/Kanpezu;2020-03-01;9;129;0.93;1088.73;11887.00;0.91
01018;ES-VI;ES-PV;Zigoitia;2020-03-01;1;211;1.00;124.55;32437.23;1.00
01019;ES-VI;ES-PV;Kripan;2020-03-01;0;25;1.00;0.00;2424.04;1.00
01020;ES-VI;ES-PV;Kuartango/Cuartango;2020-03-01;3;76;0.96;84.81;14014.45;0.99
01021;ES-VI;ES-PV;Elburgo/Burgelu;2020-03-01;2;61;0.97;90.15;8813.33;0.99
01022;ES-VI;ES-PV;Elciego;2020-03-01;3;79;0.96;585.93;8127.49;0.93
01023;ES-VI;ES-PV;Elvillar/Bilar;2020-03-01;0;37;1.00;0.00;4685.21;1.00
01027;ES-VI;ES-PV;Iruraiz-Gauna;2020-03-01;0;68;1.00;0.00;9632.90;1.00
01028;ES-VI;ES-PV;Labastida/Bastida;2020-03-01;78;105;0.26;11685.96;15782.90;0.26
01030;ES-VI;ES-PV;Lagrán;2020-03-01;0;66;1.00;0.00;5203.63;1.00
01031;ES-VI;ES-PV;Laguardia;2020-03-01;0;117;1.00;0.00;15664.46;1.00
01032;ES-VI;ES-PV;Lanciego/Lantziego;2020-03-01;0;55;1.00;0.00;6247.73;1.00
01033;ES-VI;ES-PV;Lapuebla de Labarca;2020-03-01;4;47;0.91;231.47;6834.02;0.97
01034;ES-VI;ES-PV;Leza;2020-03-01;0;19;1.00;0.00;3168.93;1.00
01036;ES-VI;ES-PV;Laudio/Llodio;2020-03-01;22;239;0.91;1283.59;37073.00;0.97
01037;ES-VI;ES-PV;Arraia-Maeztu;2020-03-01;2;164;0.99;57.66;16706.98;1.00
01039;ES-VI;ES-PV;Moreda de Álava;2020-03-01;0;28;1.00;0.00;2915.29;1.00
01041;ES-VI;ES-PV;Navaridas;2020-03-01;0;29;1.00;0.00;2641.40;1.00
01043;ES-VI;ES-PV;Oyón/Oion;2020-03-01;5;102;0.95;532.37;17263.28;0.97
01044;ES-VI;ES-PV;Peñacerrada-Urizaharra;2020-03-01;0;72;1.00;0.00;7619.34;1.00
01046;ES-VI;ES-PV;Ribera Alta;2020-03-01;0;164;1.00;0.00;18723.43;1.00
01047;ES-VI;ES-PV;Ribera Baja/Erribera Beitia;2020-03-01;0;117;1.00;0.00;19969.41;1.00
01049;ES-VI;ES-PV;Añana;2020-03-01;0;37;1.00;0.00;3508.24;1.00
01051;ES-VI;ES-PV;Agurain/Salvatierra;2020-03-01;0;118;1.00;0.00;18597.19;1.00
01052;ES-VI;ES-PV;Samaniego;2020-03-01;1;24;0.96;57.15;5235.75;0.99
01053;ES-VI;ES-PV;San Millán/Donemiliaga;2020-03-01;3;196;0.98;134.74;23015.24;0.99
01054;ES-VI;ES-PV;Urkabustaiz;2020-03-01;7;139;0.95;497.30;29223.18;0.98
01055;ES-VI;ES-PV;Valdegovía/Gaubea;2020-03-01;1;260;1.00;85.33;30683.04;1.00
01056;ES-VI;ES-PV;Valle de Arana/Harana;2020-03-01;0;65;1.00;0.00;6090.22;1.00
01057;ES-VI;ES-PV;Villabuena de Álava/Eskuernaga;2020-03-01;0;15;1.00;0.00;3601.12;1.00
01058;ES-VI;ES-PV;Legutio;2020-03-01;5;116;0.96;267.78;18599.11;0.99
01059;ES-VI;ES-PV;Vitoria-Gasteiz;2020-03-01;123;2729;0.95;13780.23;397413.38;0.97
01060;ES-VI;ES-PV;Yécora/Iekora;2020-03-01;0;36;1.00;0.00;4460.07;1.00
01061;ES-VI;ES-PV;Zalduondo;2020-03-01;0;39;1.00;0.00;3871.65;1.00
01062;ES-VI;ES-PV;Zambrana;2020-03-01;0;95;1.00;0.00;7198.14;1.00
01063;ES-VI;ES-PV;Zuya/Zuia;2020-03-01;12;204;0.94;863.46;35653.46;0.98
01409;ES-VI;ES-PV;Okondo;2020-03-01;1;18;0.94;24.62;2556.19;0.99
01901;ES-VI;ES-PV;Iruña Oka/Iruña de Oca;2020-03-01;0;304;1.00;0.00;35304.83;1.00
01902;ES-VI;ES-PV;Lantarón;2020-03-01;0;158;1.00;0.00;19764.63;1.00
-4118250;ES-VI;ES-PV;Parzonería General de Encía;2020-03-01;0;0;1;0.00;0.00;1
-7278919;ES-VI;ES-PV;Parzonería de Badaya/Badaiako partzuergoa;2020-03-01;0;0;1;0.00;0.00;1
