id,prov,ccaa,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
35001,ES-GC,ES-CN,Agaete,2020-03-01,34,194,0.82,2933.71,22277.37,0.87
35002,ES-GC,ES-CN,Agüimes,2020-03-01,59,738,0.92,4139.79,132830.89,0.97
35003,ES-GC,ES-CN,Antigua,2020-03-01,37,302,0.88,5770.16,67862.50,0.91
35004,ES-GC,ES-CN,Arrecife,2020-03-01,94,969,0.90,6884.84,124513.06,0.94
35005,ES-GC,ES-CN,Artenara,2020-03-01,3,27,0.89,347.72,6657.07,0.95
35006,ES-GC,ES-CN,Arucas,2020-03-01,29,651,0.96,1577.96,93467.17,0.98
35007,ES-GC,ES-CN,Betancuria,2020-03-01,12,48,0.75,2441.93,8558.27,0.71
35008,ES-GC,ES-CN,Firgas,2020-03-01,3,182,0.98,289.09,32977.00,0.99
35009,ES-GC,ES-CN,Gáldar,2020-03-01,20,581,0.97,1650.57,98295.25,0.98
35010,ES-GC,ES-CN,Haría,2020-03-01,10,249,0.96,346.98,37297.50,0.99
35011,ES-GC,ES-CN,Ingenio,2020-03-01,16,783,0.98,648.94,102340.55,0.99
35012,ES-GC,ES-CN,Mogán,2020-03-01,56,526,0.89,5152.51,91502.91,0.94
35013,ES-GC,ES-CN,Moya,2020-03-01,4,180,0.98,188.15,30778.66,0.99
35014,ES-GC,ES-CN,La Oliva,2020-03-01,224,944,0.76,39713.86,202748.12,0.80
35015,ES-GC,ES-CN,Pájara,2020-03-01,84,479,0.82,8042.56,65496.17,0.88
35016,ES-GC,ES-CN,Las Palmas de Gran Canaria,2020-03-01,243,3650,0.93,22547.13,560399.02,0.96
35017,ES-GC,ES-CN,Puerto del Rosario,2020-03-01,399,763,0.48,88377.49,180547.45,0.51
35018,ES-GC,ES-CN,San Bartolomé,2020-03-01,67,474,0.86,4111.68,65255.06,0.94
35019,ES-GC,ES-CN,San Bartolomé de Tirajana,2020-03-01,144,1219,0.88,14706.03,212421.81,0.93
35020,ES-GC,ES-CN,La Aldea de San Nicolás,2020-03-01,5,178,0.97,312.89,40349.28,0.99
35021,ES-GC,ES-CN,Santa Brígida,2020-03-01,13,369,0.96,1030.86,69431.81,0.99
35022,ES-GC,ES-CN,Santa Lucía de Tirajana,2020-03-01,98,858,0.89,6473.02,131654.77,0.95
35023,ES-GC,ES-CN,Santa María de Guía de Gran Canaria,2020-03-01,8,232,0.97,303.48,41097.56,0.99
35024,ES-GC,ES-CN,Teguise,2020-03-01,118,1075,0.89,7599.90,168477.05,0.95
35025,ES-GC,ES-CN,Tejeda,2020-03-01,4,49,0.92,532.77,12107.18,0.96
35026,ES-GC,ES-CN,Telde,2020-03-01,53,1915,0.97,3273.93,275283.24,0.99
35027,ES-GC,ES-CN,Teror,2020-03-01,7,270,0.97,389.45,36790.45,0.99
35028,ES-GC,ES-CN,Tías,2020-03-01,110,675,0.84,9183.30,119036.58,0.92
35029,ES-GC,ES-CN,Tinajo,2020-03-01,11,233,0.95,559.80,47341.02,0.99
35030,ES-GC,ES-CN,Tuineje,2020-03-01,112,369,0.70,22479.35,73746.32,0.70
35031,ES-GC,ES-CN,Valsequillo de Gran Canaria,2020-03-01,5,231,0.98,645.12,51132.44,0.99
35032,ES-GC,ES-CN,Valleseco,2020-03-01,4,77,0.95,243.96,18989.57,0.99
35033,ES-GC,ES-CN,Vega de San Mateo,2020-03-01,7,126,0.94,1332.95,27479.04,0.95
35034,ES-GC,ES-CN,Yaiza,2020-03-01,564,1545,0.63,43227.19,198091.74,0.78
